RPM,Temperature,Pump Value 1,Pump Value 2
000192,0020,0,0,000192
000192,0020,0,0,000192
000192,0020,0,0,000192
000192,0020,0,0,000192
000192,0020,0,0,000192
000192,0020,0,0,000192
000192,0020,0,0,000192
000192,0020,0,0,000192
000192,0020,0,0,000192
000192,0020,0,0,000192
000192,0020,0,0,000192
001127,0020,0,0,001127
001603,0020,0,0,001603
000000,0020,0,0,000000
004454,0020,0,0,004454
005216,0020,0,0,005216
005895,0020,0,0,005895
006231,0020,0,0,006231
005779,0020,0,0,005779
005598,0021,160,16,005598
005216,0020,160,16,005216
005067,0021,160,16,005067
004771,0021,160,16,004771
004710,0023,160,16,004710
004620,0027,160,16,004620
004454,0030,160,16,004454
004529,0037,160,16,004529
004414,0041,160,16,004414
004434,0045,160,16,004434
004404,0051,160,16,004404
004369,0055,160,16,004369
004364,0059,160,16,004364
004268,0062,160,16,004268
004238,0066,160,16,004238
004238,0069,160,16,004238
004228,0071,160,16,004228
004243,0074,160,16,004243
004233,0076,160,16,004233
004248,0078,160,16,004248
004248,0079,160,16,004248
004223,0081,160,16,004223
004228,0082,160,16,004228
004233,0083,160,16,004233
004228,0084,160,16,004228
004233,0084,160,16,004233
004248,0085,160,16,004248
004233,0086,160,16,004233
004223,0087,160,16,004223
004253,0087,160,16,004253
004278,0088,160,16,004278
004238,0088,160,16,004238
004364,0089,160,16,004364
004238,0089,160,16,004238
004353,0089,160,16,004353
004359,0090,160,16,004359
004293,0090,160,16,004293
004293,0090,160,21,
004539,0090,160,21,004539
004585,0090,160,21,004585
004730,0091,160,21,004730
004856,0091,160,21,004856
004776,0091,160,21,004776
004886,0091,160,21,004886
004806,0092,160,21,004806
004941,0092,160,21,004941
004831,0092,160,21,004831
004946,0093,160,22,004946
004946,0095,160,22,004946
004962,0097,160,23,004962
004992,0102,160,24,004992
005332,0110,160,24,005332
005357,0115,160,25,005357
000000,0123,160,25,000000
008449,0000,160,35,008449
010879,0148,160,45,010879
013127,0171,160,45,013127
013127,0171,160,55,
000000,0240,160,55,000000
018849,0300,160,55,018849
018849,0300,160,55,
020089,0357,160,55,020089
000000,0449,160,55,000000
024185,0506,160,55,024185
025098,0544,160,55,025098
026107,0584,160,55,026107
026107,0584,160,55,
027743,0655,160,55,027743
028601,0688,160,55,028601
028601,0688,160,55,
029325,0713,160,55,029325
031327,0730,160,55,031327
031327,0730,80,255,
032211,0735,80,255,032211
033345,0735,80,255,033345
034289,0731,80,255,034289
035800,0722,80,255,035800
036843,0710,80,255,036843
040346,0686,80,255,040346
040346,0686,80,255,
042214,0668,80,255,042214
049426,0642,80,255,049426
000000,0630,80,255,000000
000000,0630,80,255,
000000,0599,80,255,000000
059004,0578,80,255,059004
059821,0562,80,255,059821
060173,0540,80,255,060173
059942,0527,80,255,059942
059942,0511,80,255,059942
000000,0500,80,255,000000
059345,0000,80,255,059345
059461,0000,80,255,059461
000000,0000,80,255,000000
000000,0477,80,255,000000
000000,0477,0,0,
000000,0472,0,0,000000
000000,0472,0,0,
051465,0463,0,0,051465
036162,0440,0,0,036162
027909,0404,0,0,027909
017987,0340,0,0,017987
015362,0315,0,0,015362
013368,0297,0,0,013368
011731,0278,0,0,011731
010467,0263,0,0,010467
009423,0250,0,0,009423
008480,0240,0,0,008480
007667,0232,0,0,007667
007094,0000,0,0,007094
006491,0000,0,0,006491
006491,0000,0,0,
005508,0215,0,0,005508
000000,0213,0,0,000000
