RPM,Temperature,Pump Value 1,Pump Value 2
000192,,0,0
000192,0018,0,0
000192,0018,0,0
000192,0019,0,0
000192,0019,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
013102,0019,0,0
001693,0018,160,16
001693,0018,160,16
002181,0019,160,16
003134,0019,160,16
003134,0019,160,16
003926,0019,160,16
003926,0019,160,16
004404,0019,160,16
004404,0019,160,16
004735,0019,160,16
004735,0019,160,16
004967,0020,160,16
005417,0020,160,16
005417,0020,160,16
005628,0020,160,16
005628,0021,160,16
005744,0021,160,16
005744,0021,160,16
005764,0021,160,16
005764,0021,160,16
006141,0021,160,16
006141,0021,160,16
006035,0022,160,16
006236,0022,160,16
006236,0022,160,16
006262,0022,160,16
006262,0022,160,16
006091,0022,160,16
005734,0022,160,16
005734,0022,160,16
005488,0023,160,16
005397,0023,160,16
005397,0023,160,16
000000,0023,160,16
000000,0023,160,16
005017,0022,160,16
005017,0022,160,16
004901,0023,160,16
004901,0023,160,16
004776,0023,160,16
004745,0023,160,16
004745,0023,160,16
004585,0023,160,16
004585,0023,160,16
004469,0023,160,16
004469,0023,160,16
004529,0023,160,16
004419,0023,160,16
004419,0023,160,16
004419,0023,160,16
004484,0023,160,16
004484,0023,160,16
004484,0023,160,16
004278,0023,160,16
004278,0023,160,16
004369,0023,160,16
004369,0023,160,16
004379,0023,160,16
004379,0023,160,16
004248,0023,160,16
004248,0023,160,16
004338,0023,160,16
004338,0023,160,16
004364,0023,160,16
004364,0023,160,16
004243,0023,160,16
004243,0023,160,16
004238,0023,160,16
004238,0023,160,16
004238,0023,160,16
004364,0023,160,16
004364,0023,160,16
004278,0023,160,16
004278,0026,160,16
004384,0026,160,16
004384,0029,160,16
004293,0029,160,16
004293,0033,160,16
004293,0033,160,16
004399,0033,160,16
004399,0040,160,16
004424,0040,160,16
004424,0047,160,16
004424,0047,160,16
004519,0051,160,16
004519,0051,160,16
004509,0055,160,16
004439,0055,160,16
004439,0059,160,16
004439,0059,160,16
004439,0059,160,16
004549,0065,160,16
004549,0065,160,16
004560,0068,160,16
004560,0068,160,16
004549,0070,160,16
004549,0070,160,16
004544,0073,160,16
004544,0073,160,16
004544,0073,160,16
004534,0076,160,16
004534,0076,160,16
004549,0078,160,16
004549,0078,160,16
004549,0079,160,16
004549,0079,160,16
004534,0080,160,16
004534,0080,160,16
004534,0080,160,16
004570,0082,160,16
004570,0082,160,16
004560,0083,160,16
004560,0083,160,16
004640,0084,160,16
004640,0084,160,16
004560,0084,160,16
004560,0084,160,16
004560,0084,160,16
004560,0086,160,16
004560,0086,160,16
004565,0086,160,16
004565,0086,160,16
004539,0086,160,16
004680,0087,160,16
004680,0087,160,16
004680,0087,160,16
004680,0087,160,16
004575,0088,160,16
004575,0088,160,16
004595,0088,160,16
004595,0088,160,16
004585,0088,160,16
004585,0089,160,16
004580,0089,160,16
004580,0089,160,16
004565,0089,160,16
004565,0089,160,16
004560,0089,160,16
004560,0089,160,16
004580,0089,160,16
004580,0089,160,16
004580,0089,160,16
004580,0089,160,16
004580,0089,160,16
004580,0090,160,16
004605,0090,160,16
004600,0090,160,16
004600,0090,160,21
004600,0090,160,21
004600,0090,160,21
004585,0090,160,21
004585,0090,160,21
004580,0090,160,21
