RPM,Temperature,Pump Value 1,Pump Value 2
000192,,0,0
000192,0019,0,0
000192,0019,0,0
000000,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0020,0,0
000192,0020,0,0
000192,0019,0,0
000192,0019,0,0
000192,0020,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0020,0,0
000192,0020,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000192,0019,0,0
000000,0019,0,0
000000,0019,0,0
002682,0019,0,0
002682,0020,0,0
002682,0020,0,0
003591,0020,0,0
004434,0020,160,16
004434,0020,160,16
004941,0020,160,16
005377,0020,160,16
005377,0000,160,16
005714,0000,160,16
005714,0000,160,16
005714,0000,160,16
006005,0021,160,16
000000,0021,160,16
006471,0021,160,16
006471,0021,160,16
006471,0021,160,16
006602,0021,160,16
006602,0021,160,16
006642,0021,160,16
006642,0022,160,16
006863,0022,160,16
006702,0022,160,16
006702,0022,160,16
006702,0022,160,16
006747,0022,160,16
000000,0022,160,16
000000,0022,160,16
000000,0022,160,16
006317,0023,160,16
006156,0023,160,16
006156,0023,160,16
005910,0023,160,16
005623,0023,160,16
005412,0023,160,16
005412,0023,160,16
005277,0023,160,16
005277,0023,160,16
005186,0023,160,16
000000,0023,160,16
000000,0023,160,16
000000,0023,160,16
000000,0023,160,16
004926,0023,160,16
004926,0023,160,16
004926,0023,160,16
004926,0023,160,16
004766,0023,160,16
004766,0023,160,16
000000,0023,160,16
000000,0023,160,16
004735,0023,160,16
004735,0023,160,16
004725,0023,160,16
004725,0023,160,16
004615,0023,160,16
004615,0023,160,16
004615,0023,160,16
000000,0023,160,16
000000,0023,160,16
000000,0023,160,16
004580,0024,160,16
004580,0024,160,16
004595,0025,160,16
004595,0025,160,16
004585,0028,160,16
004585,0028,160,16
004605,0031,160,16
004605,0031,160,16
004600,0035,160,16
004600,0035,160,16
004575,0040,160,16
004575,0040,160,16
004600,0044,160,16
004600,0044,160,16
004600,0044,160,16
004605,0051,160,16
004605,0051,160,16
004615,0056,160,16
004615,0056,160,16
004615,0059,160,16
004615,0059,160,16
004595,0062,160,16
004595,0062,160,16
004730,0064,160,16
004730,0064,160,16
004730,0064,160,16
004735,0068,160,16
004735,0068,160,16
004635,0070,160,16
004635,0070,160,16
004735,0072,160,16
004735,0072,160,16
004720,0074,160,16
004720,0074,160,16
004720,0074,160,16
004640,0076,160,16
004640,0076,160,16
004745,0077,160,16
004745,0077,160,16
004725,0079,160,16
004725,0079,160,16
004755,0080,160,16
004755,0080,160,16
004755,0080,160,16
