RPM,Temperature,Pump Value 1,Pump Value 2
074277,0492,92,255,70
075001,0478,92,255,70
075001,0467,92,255,70
076711,0462,92,255,70
076711,0457,93,255,70
076902,0454,93,255,70
076902,0454,92,255,70
078187,0450,92,255,70
078187,0448,93,255,70
078187,0448,92,255,70
078187,0445,92,255,70
078187,0444,92,255,70
078187,0444,92,255,70
077385,0444,92,255,70
077485,0443,92,255,70
077385,0443,91,255,70
077289,0443,91,255,70
076807,0442,91,255,70
076807,0442,91,255,70
076316,0443,91,255,70
075939,0443,91,255,70
075753,0444,90,255,70
075658,0445,90,255,70
075658,0445,90,255,70
075658,0445,90,255,70
075001,0445,90,255,70
074910,0445,90,255,70
074910,0446,90,255,70
074820,0447,90,255,70
074724,0448,90,255,70
074820,0449,89,255,70
074634,0451,89,255,70
074368,0453,89,255,70
074368,0452,89,255,70
074368,0452,89,255,70
073640,0452,89,255,70
073550,0452,89,255,70
073640,0452,89,255,70
073640,0452,89,255,70
073550,0451,89,255,70
073465,0451,89,255,70
073289,0451,88,255,70
073465,0450,88,255,70
072942,0451,88,255,70
072942,0451,88,255,70
072411,0450,88,255,70
072325,0449,88,255,70
071903,0449,88,255,70
071737,0452,88,255,70
071737,0454,88,255,70
071737,0454,88,255,70
071989,0455,88,255,70
072074,0455,88,255,70
072074,0455,88,255,70
071989,0455,88,255,70
071737,0455,88,255,70
071737,0455,88,255,70
072074,0454,88,255,70
071989,0454,88,255,70
072325,0454,88,255,70
072240,0453,88,255,70
072240,0452,88,255,70
072240,0450,88,255,70
072160,0449,88,255,70
072160,0448,87,255,70
071737,0449,87,255,70
071486,0448,87,255,70
071486,0447,87,255,70
071486,0447,87,255,70
071486,0447,87,255,70
071486,0447,87,255,70
071061,0448,87,255,70
070814,0449,87,255,70
070980,0450,87,255,70
070734,0451,87,255,70
070568,0452,87,255,70
070568,0452,87,255,70
070814,0452,87,255,70
070814,0452,87,255,70
070814,0452,87,255,70
070814,0452,87,255,70
070895,0451,87,255,70
070980,0451,87,255,70
070895,0450,87,255,70
071061,0450,87,255,70
071061,0450,87,255,70
071061,0449,87,255,70
071061,0448,87,255,70
071061,0448,87,255,70
071061,0446,87,255,70
071061,0446,87,255,70
071061,0446,87,255,70
071141,0446,87,255,70
070980,0445,87,255,70
070734,0444,87,255,70
070814,0444,87,255,70
070653,0443,87,255,70
070653,0443,87,255,70
070734,0443,87,255,70
070653,0443,87,255,70
070734,0443,87,255,70
070653,0444,87,255,70
070734,0444,87,255,70
070653,0444,87,255,70
070653,0444,87,255,70
070895,0445,87,255,70
071141,0445,87,255,70
071061,0445,87,255,70
071061,0447,87,255,70
071061,0448,87,255,70
071572,0449,87,255,70
071572,0449,87,255,70
071572,0449,87,255,70
071903,0448,87,255,70
071989,0448,87,255,70
071818,0447,87,255,70
071903,0447,87,255,70
071737,0447,87,255,70
071737,0447,87,255,70
071652,0447,87,255,70
071652,0446,86,255,70
071486,0446,86,255,70
071486,0446,86,255,70
071061,0445,86,255,70
070488,0443,86,255,70
070407,0442,86,255,70
070327,0441,86,255,70
070246,0441,86,255,70
070327,0441,86,255,70
070166,0441,86,255,70
070166,0441,86,255,70
070488,0442,86,255,70
070488,0442,86,255,70
070568,0443,86,255,70
070568,0443,86,255,70
070488,0443,86,255,70
070488,0443,86,255,70
070734,0443,86,255,70
070327,0444,86,255,70
070327,0444,86,255,70
070407,0445,86,255,70
070488,0445,86,255,70
070407,0445,86,255,70
070488,0446,86,255,70
070488,0446,86,255,70
070488,0446,86,255,70
070653,0445,86,255,70
070653,0445,86,255,70
070488,0445,86,255,70
070488,0445,86,255,70
070407,0446,86,255,70
070488,0446,86,255,70
070488,0446,86,255,70
070653,0447,86,255,70
070734,0446,86,255,70
070980,0445,86,255,70
070980,0445,86,255,70
071061,0444,86,255,70
070895,0444,86,255,70
070734,0445,86,255,70
070814,0445,86,255,70
071061,0445,86,255,70
071141,0446,86,255,70
070980,0446,86,255,70
070895,0447,86,255,70
071141,0447,86,255,70
071061,0447,86,255,70
071061,0448,86,255,70
071061,0447,86,255,70
071061,0448,86,255,70
071061,0448,86,255,70
071061,0447,86,255,70
071061,0446,86,255,70
071061,0446,86,255,70
071061,0446,86,255,70
071061,0446,86,255,70
071061,0446,86,255,70
071141,0446,0,0,70
071141,0447,0,0,70
069283,0445,0,0,70
048594,0429,0,0,70
027462,0371,0,0,70
021399,0333,0,0,70
021399,0312,0,0,70
015566,0288,0,0,70
013750,0267,0,0,70
012093,0256,0,0,70
010808,0243,0,0,70
009654,0233,0,0,70
008686,0233,0,0,70
007962,0233,0,0,70
007962,0233,0,0,70
006682,0214,0,0,70
006682,0214,0,0,70
005648,0209,0,0,70
005196,0207,0,0,70
005196,0207,0,0,70
