RPM,Temperature,Pump Value 1,Pump Value 2
000192,0018,0,0,60
000192,0018,0,0,60
000192,0018,0,0,60
000192,0018,0,0,60
000192,0018,0,0,60
000192,0018,0,0,60
000192,0018,0,0,60
000192,0018,0,0,60
000192,0018,0,0,60
000192,0018,0,0,60
000192,0018,0,0,60
009167,0018,0,0,60
002397,0018,0,0,60
003936,0018,0,0,60
003936,0018,0,0,60
005895,0019,0,0,60
006277,0019,0,0,60
006838,0019,0,0,60
006267,0020,0,0,60
005960,0020,160,16,60
005674,0020,160,16,60
005618,0021,160,16,60
005412,0021,160,16,60
005362,0022,160,16,60
005226,0025,160,16,60
005327,0029,160,16,60
005347,0035,160,16,60
005357,0040,160,16,60
005372,0045,160,16,60
005231,0051,160,16,60
005186,0055,160,16,60
005337,0058,160,16,60
005221,0059,160,16,60
005211,0061,160,16,60
005221,0062,160,16,60
005362,0064,160,16,60
005246,0066,160,16,60
005367,0068,160,16,60
005372,0070,160,16,60
005352,0072,160,16,60
005382,0074,160,16,60
005372,0076,160,16,60
005377,0078,160,16,60
005216,0079,160,16,60
005412,0081,160,16,60
005397,0082,160,16,60
005397,0084,160,16,60
005417,0086,160,16,60
005437,0088,160,16,60
005432,0091,160,16,60
005422,0093,160,16,60
005568,0095,160,21,60
005468,0096,160,21,60
005468,0096,160,21,60
005628,0097,160,21,60
005513,0099,160,21,60
005488,0097,160,21,60
005633,0097,160,21,60
005452,0096,160,21,60
005452,0096,160,21,60
005513,0096,160,21,60
005648,0097,160,22,60
005628,0097,160,22,60
005674,0099,160,23,60
005684,0102,160,23,60
005684,0102,160,24,60
005920,0108,160,24,60
007386,0118,160,15,60
010929,0133,160,15,60
013348,0156,160,16,60
013348,0156,160,19,60
017127,0245,160,21,60
017856,0268,160,21,60
018498,0284,160,24,60
019682,0300,160,25,60
019682,0300,160,25,60
020572,0327,160,25,60
021208,0338,160,26,60
021208,0348,160,27,60
021208,0348,160,28,60
023156,0361,160,28,60
023562,0381,160,28,60
023562,0381,160,29,60
023562,0403,160,29,60
025098,0417,160,29,60
025098,0431,160,29,60
025098,0445,160,31,60
027387,0455,160,31,60
027387,0455,160,31,60
028883,0472,160,32,60
028883,0472,160,32,60
030218,0472,160,34,60
030745,0472,160,34,60
031844,0472,160,35,60
032466,0491,160,35,60
033471,0496,160,36,60
033471,0496,160,37,60
034520,0500,160,37,60
037180,0508,160,37,60
038164,0513,160,38,60
039197,0514,160,40,60
041155,0518,160,41,60
041155,0519,160,42,60
044960,0520,160,43,60
046872,0520,81,255,60
046872,0519,82,255,70
052358,0519,85,255,70
052358,0519,86,255,70
059997,0519,87,255,70
059997,0517,89,255,70
066558,0512,89,255,70
069283,0505,90,255,70
069283,0500,91,255,70
072766,0492,91,255,70
074277,0492,92,255,70
