RPM,Temperature,Pump Value 1,Pump Value 2
000192,0018,0,0
000192,0017,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0017,0,0
000192,0018,0,0
000192,0017,0,0
000192,0018,0,0
000192,0017,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0017,0,0
000192,0017,0,0
000584,0017,0,0
000000,0000,0,0
000000,0018,0,0
003124,0018,0,0
003124,0018,0,0
003957,0018,0,0
004248,0000,0,0
004248,0000,0,0
004549,0019,0,0
004916,0019,0,0
005196,0019,0,0
005427,0019,0,0
005427,0019,0,0
000000,0020,0,0
000000,0020,0,0
005407,0000,0,0
005186,0020,160,16
000000,0021,160,16
000000,0021,160,16
004821,0021,160,16
004776,0021,160,16
004720,0021,160,16
004580,0021,160,16
004524,0021,160,16
004384,0021,160,16
004364,0022,160,16
004238,0022,160,16
004112,0022,160,16
004208,0022,160,16
004102,0022,160,16
004092,0022,160,16
004062,0022,160,16
004062,0022,160,16
003967,0023,160,16
003962,0023,160,16
003962,0023,160,16
003957,0023,160,16
003957,0024,160,16
003941,0024,160,16
003931,0024,160,16
000000,0024,160,16
000000,0024,160,16
000000,0024,160,16
003936,0024,160,16
000000,0024,160,16
000000,0024,160,16
000000,0024,160,16
003926,0024,160,16
003941,0024,160,16
003941,0024,160,16
003941,0024,160,16
003951,0024,160,16
003967,0024,160,16
003987,0024,160,16
004042,0000,160,16
004067,0024,160,16
003982,0024,160,16
004062,0024,160,16
004062,0024,160,16
004082,0024,160,16
004102,0024,160,16
004117,0024,160,16
004097,0024,160,16
004112,0024,160,16
004188,0024,160,16
004117,0024,160,16
004117,0024,160,16
004107,0024,160,16
004012,0024,160,16
004102,0024,160,16
004102,0024,160,16
004087,0024,160,16
004102,0024,160,16
