RPM,Temperature,Pump Value 1,Pump Value 2
000192,0018,0,0
000192,0019,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
000192,0018,0,0
001497,0019,0,0
001889,0018,0,0
003179,0018,0,0
004087,0019,0,0
004921,0019,0,0
005392,0019,0,0
005729,0019,0,0
005513,0019,0,0
005251,0020,160,16
005251,0020,160,16
004987,0021,160,16
004921,0024,160,16
004801,0030,160,16
004911,0035,160,16
004876,0040,160,16
004745,0045,160,16
004650,0051,160,16
004640,0055,160,16
004715,0059,160,16
004680,0063,160,16
004590,0067,160,16
004705,0070,160,16
004570,0073,160,16
004585,0076,160,16
004575,0078,160,16
004585,0080,160,16
004685,0082,160,16
004565,0083,160,16
004560,0085,160,16
004539,0086,160,16
004539,0086,160,16
004464,0088,160,16
004464,0088,160,16
004534,0089,160,16
004534,0090,160,16
004685,0091,160,16
004554,0092,160,21
000000,0000,160,21
000000,0000,160,21
004786,0093,160,21
004916,0093,160,21
004926,0094,160,21
004956,0094,160,21
005077,0094,160,21
004982,0093,160,21
000000,0093,160,21
000000,0093,160,22
000000,0093,160,22
005181,0096,160,23
005176,0097,160,24
000000,0101,160,24
000000,0101,160,25
005221,0104,160,25
006262,0108,160,35
008414,0111,160,45
012033,0128,160,45
012033,0128,160,55
013921,0153,160,55
000000,0200,160,55
017715,0241,160,55
019236,0278,160,55
020466,0323,160,55
020466,0323,160,55
023617,0427,160,55
000000,0000,160,55
000000,0522,160,55
027036,0566,160,55
028216,0600,160,55
028216,0600,160,55
029521,0628,160,55
030580,0648,160,55
032096,0661,80,255
000000,0668,80,255
035247,0663,80,255
036472,0657,80,255
000000,0649,80,255
000000,0649,80,255
000000,0627,80,255
000000,0627,80,255
000000,0601,80,255
051510,0586,80,255
053276,0575,80,255
055053,0555,80,255
055972,0543,80,255
056484,0526,80,255
056434,0512,80,255
056384,0501,80,255
056022,0493,80,255
000000,0000,80,255
000000,0000,80,255
055355,0477,80,255
054812,0470,80,255
054812,0470,80,255
055104,0468,80,255
055154,0467,80,255
055405,0466,85,255
055501,0466,85,255
055921,0464,85,255
055921,0464,85,255
057990,0468,85,255
000000,0475,85,255
000000,0475,85,255
063301,0476,85,255
064038,0476,85,255
064370,0474,85,255
000000,0468,85,255
000000,0464,90,255
000000,0462,90,255
000000,0462,90,255
000000,0462,90,255
070734,0464,90,255
071903,0464,90,255
000000,0461,90,255
000000,0459,90,255
000000,0456,95,255
000000,0456,95,255
076902,0457,95,255
078187,0458,95,255
078187,0458,95,255
000000,0456,95,255
079311,0454,95,255
079512,0453,95,255
079512,0452,100,255
079512,0452,100,255
079824,0451,100,255
084597,0454,100,255
000000,0454,100,255
085912,0454,100,255
085912,0454,100,255
086032,0452,100,255
086032,0452,100,255
086274,0451,105,255
000000,0449,105,255
000000,0449,105,255
092291,0451,105,255
092291,0451,105,255
092573,0450,105,255
093130,0448,105,255
093130,0447,110,255
000000,0445,110,255
000000,0445,110,255
097617,0447,110,255
097617,0447,110,255
000000,0446,110,255
000000,0445,110,255
000000,0445,115,255
098887,0443,115,255
098887,0443,115,255
101859,0443,115,255
104127,0444,115,255
104127,0444,115,255
104303,0444,115,255
104660,0444,120,255
104484,0443,120,255
000000,0445,120,255
000000,0445,120,255
109754,0444,120,255
109754,0443,120,255
109950,0441,120,255
000000,0440,120,255
109754,0440,120,255
109950,0439,120,255
109754,0439,120,255
000000,0437,120,255
000000,0437,120,255
110557,0437,120,255
000000,0437,120,255
110557,0437,125,255
000000,0437,125,255
113227,0438,125,255
000000,0440,125,255
000000,0440,125,255
114507,0441,125,255
114507,0441,125,255
000000,0441,125,255
114507,0442,130,255
114507,0442,130,255
118286,0443,130,255
118286,0443,130,255
118743,0443,130,255
118517,0443,130,255
118743,0443,130,255
118743,0443,135,255
000000,0443,135,255
000000,0444,135,255
000000,0445,135,255
123567,0446,135,255
000000,0446,135,255
000000,0446,135,255
123567,0445,135,255
000000,0445,140,255
000000,0446,140,255
126126,0448,140,255
126126,0448,140,255
126649,0450,140,255
126649,0451,140,255
126649,0452,140,255
126388,0451,140,255
000000,0452,140,255
000000,0452,145,255
126388,0452,145,255
128792,0453,145,255
000000,0455,145,255
000000,0458,145,255
000000,0458,145,255
000000,0460,145,255
000000,0460,145,255
130172,0461,145,255
130172,0462,145,255
000000,0461,150,255
000000,0461,150,255
130443,0461,150,255
131859,0462,150,255
133008,0462,150,255
133008,0462,150,255
133300,0462,150,255
000000,0463,150,255
000000,0463,150,255
133300,0463,150,255
133300,0464,150,255
133300,0464,150,255
133300,0464,150,255
133008,0464,150,255
133008,0464,150,255
000000,0462,150,255
070488,0439,150,255
070488,0439,150,255
035473,0368,150,255
027809,0326,150,255
000000,0302,150,255
018744,0275,150,255
016224,0258,150,255
014316,0246,150,255
012495,0234,150,255
011190,0000,150,255
010091,0000,150,255
009242,0217,150,255
009242,0217,150,255
000000,0210,150,255
000000,0210,150,255
006531,0207,150,255
006531,0207,150,255
005563,0205,150,255
000000,0203,150,255
000000,0203,150,255
004414,0203,150,255
004158,0203,150,255
000000,0203,150,255
000000,0203,150,255
003566,0203,150,255
003099,0205,150,255
002893,0205,150,255
002687,0205,150,255
002687,0205,150,255
002482,0205,150,255
002316,0206,150,255
002171,0206,150,255
001844,0206,150,255
001678,0207,150,255
001547,0207,150,255
001407,0207,150,255
001276,0208,150,255
001276,0208,150,255
001167,0209,150,255
001046,0210,150,255
