RPM,Temperature,Pump Value 1,Pump Value 2
003385,0021,0,0,60
002973,0021,0,0,60
002697,0021,0,0,60
002437,0021,0,0,60
002140,0021,0,0,60
001929,0021,0,0,60
001708,0021,0,0,60
001522,0021,0,0,60
001341,0021,0,0,60
001162,0021,0,0,60
001016,0022,0,0,60
001281,0022,0,0,60
003275,0022,0,0,60
004615,0022,0,0,60
005653,0022,0,0,60
006546,0022,0,0,60
006948,0023,0,0,60
007401,0023,0,0,60
007009,0023,0,0,60
006622,0024,160,16,60
006282,0025,160,16,60
006206,0025,160,16,60
005935,0024,160,16,60
005719,0025,160,16,60
005674,0024,160,16,60
005643,0024,160,16,60
005608,0023,160,16,60
005458,0023,160,16,60
005468,0023,160,16,60
005447,0023,160,16,60
005397,0023,160,16,60
005412,0022,160,16,60
005412,0023,160,16,60
005382,0023,160,16,60
005382,0023,160,16,60
005377,0022,160,16,60
005236,0022,160,16,60
005216,0023,160,16,60
005377,0023,160,16,60
005392,0023,160,16,60
005377,0023,160,16,60
005377,0022,160,16,60
005372,0022,160,16,60
005352,0022,160,16,60
005382,0022,160,16,60
005206,0022,160,16,60
005246,0022,160,16,60
005267,0022,160,16,60
005352,0022,160,16,60
005231,0023,160,16,60
005352,0023,160,16,60
005211,0022,160,16,60
005342,0022,160,16,60
005362,0022,160,16,60
005337,0022,160,16,60
005196,0022,160,16,60
