RPM,Temperature,Pump Value 1,Pump Value 2
004097,0025,0,0
000891,0020,0,0
000810,0020,0,0
000725,0020,0,0
000624,0020,0,0
000544,0020,0,0
000484,0020,0,0
000459,0020,0,0
000358,0020,0,0
000363,0020,0,0
000288,0020,0,0
000000,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
001673,0020,0,0
001673,0020,0,0
002883,0020,0,0
002883,0020,0,0
000000,0000,0,0
004092,0020,0,0
004092,0020,0,0
000000,0000,0,0
004771,0020,0,0
005206,0020,0,0
005392,0020,0,0
005463,0021,0,0
005653,0021,0,0
005653,0021,0,0
005885,0021,0,0
005759,0021,0,0
005548,0021,0,0
005548,0021,160,16
005176,0021,160,16
000000,0021,160,16
000000,0021,160,16
004921,0022,160,16
004766,0022,160,16
004735,0023,160,16
004610,0024,160,16
004565,0025,160,16
004575,0027,160,16
004429,0029,160,16
004524,0031,160,16
004419,0034,160,16
004389,0037,160,16
004384,0039,160,16
004419,0041,160,16
004258,0043,160,16
004278,0047,160,16
004353,0049,160,16
004333,0050,160,16
004243,0052,160,16
004248,0054,160,16
004228,0056,160,16
004132,0058,160,16
004218,0060,160,16
004183,0061,160,16
004208,0064,160,16
004112,0065,160,16
004127,0066,160,16
004127,0068,160,16
004107,0069,160,16
004102,0071,160,16
004102,0071,160,16
004132,0073,160,16
004107,0074,160,16
004107,0074,160,16
004087,0076,160,16
004087,0076,160,16
004092,0077,160,16
004107,0078,160,16
004117,0079,160,16
004117,0079,160,16
004092,0080,160,16
004117,0081,160,16
004102,0081,160,16
004082,0082,160,16
004112,0083,160,16
004188,0083,160,16
004102,0084,160,16
004097,0084,160,16
004092,0085,160,16
004097,0085,160,16
004107,0086,160,16
004087,0086,160,16
004097,0087,160,16
004097,0087,160,16
004132,0087,160,16
004082,0088,160,16
004092,0088,160,16
004102,0088,160,16
004092,0088,160,16
004092,0088,160,16
004097,0089,160,16
004097,0089,160,16
004208,0089,160,16
004097,0089,160,16
000000,0000,160,16
004097,0090,160,16
004178,0090,160,16
004097,0090,160,16
004107,0090,160,21
004223,0091,160,21
004233,0091,160,21
004273,0091,160,21
004359,0091,160,21
004369,0091,160,21
004313,0092,160,21
004404,0092,160,21
004414,0092,160,21
004409,0093,160,21
004544,0093,160,21
004434,0093,160,21
004544,0093,160,21
004549,0093,160,21
004459,0093,160,21
004554,0093,160,21
004560,0093,160,21
004560,0093,160,21
004560,0093,160,21
004554,0094,160,21
004570,0094,160,21
004570,0094,160,21
004570,0094,160,21
004570,0094,160,21
004590,0095,160,21
004590,0095,160,21
004720,0097,160,22
004720,0097,160,22
004720,0097,160,22
004740,0101,160,22
004740,0101,160,23
004735,0103,160,23
004735,0103,160,23
004735,0103,160,23
004720,0105,160,24
004720,0105,160,24
004720,0105,160,24
000000,0107,160,24
000000,0107,160,25
000000,0107,160,25
000000,0107,160,25
000000,0107,160,25
004625,0106,160,35
004625,0106,160,35
004625,0106,160,35
004625,0106,160,35
004625,0106,160,45
004700,0105,160,45
004700,0105,160,45
004700,0105,160,45
004700,0105,160,55
009368,0100,160,55
009368,0100,160,55
009368,0100,160,55
009368,0100,160,55
011517,0101,160,55
011517,0101,160,55
012545,0104,160,55
012545,0104,160,55
012545,0104,160,55
000000,0109,160,55
013172,0112,160,55
013207,0112,160,55
013197,0113,160,55
013197,0113,160,55
013232,0112,160,55
013258,0111,160,55
013308,0110,160,55
