RPM,Temperature,Pump PWM,Pump Enable,Requested RPM
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0013,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
000000,0012,0,0,60
006581,0013,0,0,60
000000,0012,0,0,60
001688,0012,0,0,60
002476,0013,0,0,60
003201,0013,0,0,60
003935,0013,0,0,60
004380,0013,0,0,60
004945,0014,0,0,60
005372,0015,0,0,60
005690,0015,0,0,60
005998,0015,0,0,60
006306,0016,0,0,60
006818,0016,0,0,60
006919,0017,0,0,60
007247,0018,0,0,60
007333,0018,0,0,60
007399,0019,0,0,60
007035,0019,0,0,60
006955,0020,160,16,60
006899,0021,160,16,60
006667,0021,160,16,60
006581,0021,160,16,60
006516,0022,160,16,60
006346,0023,160,16,60
006306,0023,160,16,60
006495,0025,160,16,60
006301,0026,160,16,60
006280,0028,160,16,60
006190,0030,160,16,60
006215,0031,160,16,60
006215,0033,160,16,60
006210,0036,160,16,60
006164,0038,160,16,60
006210,0040,160,16,60
006190,0043,160,16,60
006235,0045,160,16,60
006185,0048,160,16,60
006210,0051,160,16,60
006200,0053,160,16,60
006149,0054,160,16,60
006028,0056,160,16,60
006185,0058,160,16,60
006023,0060,160,16,60
005983,0061,160,16,60
006003,0063,160,16,60
006144,0064,160,16,60
006119,0065,160,16,60
006033,0066,160,16,60
005967,0067,160,16,60
005957,0068,160,16,60
005952,0068,160,16,60
005952,0069,160,16,60
005998,0070,160,16,60
006089,0070,160,16,60
005978,0071,160,16,60
005967,0072,160,16,60
005907,0072,160,16,60
005937,0073,160,16,60
005927,0073,160,16,60
005952,0073,160,16,60
005922,0074,160,16,60
005927,0074,160,16,60
006079,0074,160,16,60
005952,0074,160,16,60
005912,0074,160,16,60
005942,0075,160,16,60
005942,0075,160,16,60
005927,0075,160,16,60
005902,0076,160,16,60
005957,0076,160,16,60
005922,0076,160,16,60
005952,0076,160,16,60
006139,0075,160,16,60
005947,0076,160,16,60
005932,0076,160,16,60
005957,0076,160,16,60
005932,0076,160,16,60
006109,0076,160,16,60
005962,0076,160,16,60
005927,0076,160,16,60
005952,0076,160,16,60
005962,0076,160,16,60
006104,0076,160,16,60
006104,0076,160,16,60
005962,0076,160,16,60
005917,0076,160,16,60
006084,0076,160,16,60
006079,0076,160,16,60
005962,0076,160,16,60
006068,0077,160,16,60
005942,0076,160,16,60
005967,0076,160,16,60
006099,0076,160,16,60
005952,0077,160,16,60
005973,0077,160,16,60
005952,0077,160,16,60
005983,0078,160,16,60
006013,0078,160,16,60
005983,0078,160,16,60
006149,0078,160,16,60
005937,0078,160,16,60
006139,0078,160,16,60
005993,0079,160,16,60
006169,0079,160,16,60
006094,0079,160,16,60
005993,0079,160,16,60
006099,0079,160,16,60
005983,0079,160,16,60
005922,0079,160,16,60
005993,0080,160,16,60
006008,0080,160,16,60
005967,0080,160,16,60
006134,0080,160,16,60
006023,0081,160,16,60
006003,0081,160,16,60
006114,0081,160,16,60
006134,0082,160,16,60
006104,0082,160,16,60
005978,0082,160,16,60
005983,0083,160,16,60
006139,0083,160,16,60
006144,0083,160,16,60
006149,0083,160,16,60
006149,0084,160,16,60
006139,0084,160,16,60
006043,0084,160,16,60
005967,0084,160,16,60
006114,0084,160,16,60
005973,0084,160,16,60
006013,0085,160,16,60
005978,0085,160,16,60
005983,0085,160,16,60
006139,0085,160,16,60
005983,0086,160,16,60
006139,0086,160,16,60
005952,0086,160,16,60
006003,0086,160,16,60
006190,0086,160,16,60
005983,0086,160,16,60
006124,0086,160,16,60
006124,0086,160,16,60
006139,0086,160,16,60
005983,0086,160,16,60
006139,0087,160,16,60
006129,0087,160,16,60
006149,0087,160,16,60
006003,0087,160,16,60
006038,0087,160,16,60
005962,0087,160,16,60
005988,0088,160,16,60
006139,0088,160,16,60
005993,0088,160,16,60
005993,0088,160,16,60
006023,0088,160,16,60
005973,0089,160,16,60
006164,0089,160,16,60
006053,0089,160,16,60
006124,0089,160,16,60
005978,0089,160,16,60
006179,0089,160,16,60
005998,0089,160,16,60
006028,0089,160,16,60
006144,0090,160,16,60
006144,0089,160,16,60
006190,0089,160,16,60
006169,0090,160,21,60
006200,0090,160,21,60
006195,0090,160,21,60
006210,0090,160,21,60
006235,0090,160,21,60
006255,0090,160,21,60
006255,0090,160,21,60
006255,0090,160,21,60
006265,0090,160,21,60
006245,0090,160,21,60
006260,0090,160,21,60
006230,0090,160,21,60
006230,0089,160,21,60
006215,0089,160,21,60
006205,0089,160,21,60
006420,0090,160,21,60
006235,0090,160,21,60
006048,0090,160,21,60
006205,0091,160,21,60
006230,0091,160,21,60
006255,0091,160,21,60
006230,0091,160,21,60
006260,0092,160,21,60
006245,0093,160,21,60
006245,0094,160,21,60
006220,0096,160,21,60
006435,0097,160,22,60
006321,0100,160,22,60
006475,0102,160,22,60
006490,0104,160,22,60
006521,0106,160,23,60
006586,0108,160,23,60
006591,0111,160,23,60
006601,0115,160,23,60
006849,0118,160,24,60
006889,0122,160,24,60
006924,0127,160,24,60
007454,0132,160,24,60
008421,0138,160,24,60
009701,0144,160,16,60
010820,0152,160,16,60
011878,0162,160,16,60
013047,0172,160,18,60
013976,0183,160,18,60
014665,0196,160,20,60
015018,0210,160,20,60
015642,0210,160,20,60
016882,0238,160,22,60
018126,0251,160,22,60
017694,0266,160,22,60
018066,0277,160,24,60
019050,0288,160,24,60
018990,0298,160,24,60
019820,0308,160,25,60
019931,0316,160,25,60
020505,0327,160,26,60
021070,0337,160,26,60
020833,0345,160,26,60
022426,0352,160,27,60
022734,0360,160,27,60
022406,0368,160,27,60
022476,0373,160,28,60
023272,0377,160,28,60
023504,0381,160,28,60
023670,0385,160,29,60
023681,0389,160,29,60
024014,0394,160,29,60
024150,0397,160,29,60
024150,0402,160,29,60
024496,0406,160,30,60
024764,0410,160,30,60
025132,0416,160,30,60
025132,0419,160,30,60
025917,0422,160,30,60
025771,0427,160,30,60
026483,0430,160,31,60
026483,0433,160,31,60
027086,0439,160,31,60
027682,0443,160,31,60
027682,0448,160,31,60
028437,0453,160,32,60
028765,0458,160,32,60
029048,0462,160,32,60
029048,0467,160,33,60
029657,0470,160,33,60
030020,0475,160,33,60
030293,0478,160,34,60
030765,0478,160,34,60
031255,0478,160,35,60
031169,0478,160,35,60
032116,0478,160,35,60
032434,0491,160,36,60
032918,0493,160,36,60
032918,0495,160,36,60
032918,0497,160,36,60
034350,0499,160,36,60
034660,0502,160,36,60
035382,0504,160,37,60
035885,0506,160,37,60
036723,0509,160,38,60
037241,0511,160,38,60
038053,0514,160,38,60
038940,0518,160,40,60
039760,0520,160,40,60
040548,0522,160,40,60
041525,0524,160,42,60
041525,0526,160,42,60
043959,0528,160,42,60
045390,0530,160,44,60
046731,0532,80,255,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
046731,0532,0,0,60
