RPM,Temperature,Pump Value 1,Pump Value 2
000192,0017,0,0
000192,0018,0,0
000192,0017,0,0
000192,0018,0,0
000192,0017,0,0
000192,0017,0,0
000192,0017,0,0
000192,0017,0,0
000192,0018,0,0
000192,0017,0,0
000192,0018,0,0
006612,0018,0,0
001954,0017,0,0
002893,0018,0,0
003682,0018,0,0
004127,0018,0,0
004454,0019,0,0
004901,0019,0,0
004394,0020,0,0
004092,0020,160,16
000000,0020,160,16
003672,0021,160,16
003571,0024,160,16
003395,0029,160,16
003365,0034,160,16
003280,0039,160,16
003275,0044,160,16
003204,0050,160,16
003119,0053,160,16
003129,0057,160,16
003134,0061,160,16
003184,0065,160,16
003174,0068,160,16
003134,0071,160,16
003114,0074,160,16
003109,0076,160,16
003114,0078,160,16
003109,0080,160,16
003048,0081,160,16
003119,0082,160,16
003114,0083,160,16
003194,0084,160,16
003209,0085,160,16
003275,0086,160,16
003204,0086,160,16
003275,0087,160,16
003275,0087,160,16
003229,0088,160,16
003229,0088,160,16
003229,0088,160,16
003270,0089,160,16
003285,0089,160,16
003290,0089,160,16
003290,0090,160,16
003300,0090,160,16
003375,0090,160,21
003486,0090,160,21
003591,0091,160,21
003692,0090,160,21
000000,0090,160,21
003916,0090,160,21
003931,0090,160,21
000000,0090,160,21
003951,0091,160,21
004042,0091,160,21
003972,0092,160,22
003972,0094,160,22
003997,0096,160,23
004087,0101,160,24
004117,0104,160,24
004203,0108,160,25
004203,0108,160,25
005241,0113,160,35
009463,0128,160,45
009463,0128,160,45
011175,0147,160,55
014743,0196,160,55
000000,0234,160,55
017072,0280,160,55
017670,0344,160,55
017670,0344,160,55
019642,0388,160,55
022518,0000,160,55
022503,0522,160,55
024004,0569,160,55
024696,0596,160,55
024696,0596,160,55
025686,0629,160,55
027673,0669,160,55
029033,0687,160,55
030158,0697,160,55
031262,0701,80,255
032466,0701,80,255
034138,0696,80,255
034138,0696,80,255
037767,0676,80,255
037767,0676,80,255
039604,0661,80,255
000000,0000,80,255
000000,0624,80,255
000000,0609,80,255
054120,0589,80,255
055204,0571,80,255
055972,0556,80,255
056228,0538,80,255
056328,0519,80,255
056384,0506,80,255
056328,0495,80,255
056278,0000,80,255
056228,0000,80,255
056072,0476,80,255
055972,0473,80,255
056178,0471,80,255
056228,0469,80,255
056178,0468,80,255
056178,0468,80,255
056228,0466,90,255
000000,0467,90,255
000000,0474,90,255
068501,0000,90,255
070980,0000,90,255
072325,0000,90,255
072857,0479,90,255
073027,0475,90,255
073027,0475,90,255
073113,0469,90,255
073289,0463,90,255
073374,0460,90,255
073289,0457,90,255
073465,0455,90,255
073027,0453,90,255
073027,0453,90,255
072942,0451,90,255
073027,0451,90,255
073027,0451,90,255
073289,0450,90,255
073113,0450,90,255
050912,0439,90,255
050912,0439,90,255
036954,0403,90,255
021726,0335,90,255
018176,0313,90,255
015646,0290,90,255
013554,0268,90,255
011978,0257,90,255
010632,0244,90,255
009503,0235,90,255
008655,0000,90,255
007846,0000,90,255
007846,0000,90,255
006607,0214,90,255
006607,0214,90,255
005628,0209,90,255
005236,0207,90,255
005236,0207,90,255
004846,0206,90,255
004233,0203,90,255
003926,0202,90,255
003926,0202,90,255
003702,0202,90,255
003435,0201,90,255
003038,0200,90,255
002822,0200,90,255
002651,0200,90,255
002651,0200,90,255
002472,0200,90,255
002296,0199,90,255
002140,0199,90,255
001819,0199,90,255
001698,0199,90,255
