RPM,Temperature,Pump PWM,Pump Enable,Requested RPM
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0020,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
000000,0019,0,0,60
009762,0019,0,0,60
000000,0019,0,0,60
002107,0019,0,0,60
002867,0019,0,0,60
003579,0019,0,0,60
004198,0019,0,0,60
004708,0019,0,0,60
005135,0020,0,0,60
005589,0019,0,0,60
005892,0020,0,0,60
006210,0020,0,0,60
006326,0021,0,0,60
006859,0021,0,0,60
000000,0021,0,0,60
007030,0021,0,0,60
007318,0021,0,0,60
007298,0021,0,0,60
007061,0021,0,0,60
006899,0021,160,16,60
006798,0022,160,16,60
006793,0022,160,16,60
006793,0022,160,16,60
006455,0021,160,16,60
006280,0021,160,16,60
006200,0022,160,16,60
006134,0022,160,16,60
006169,0022,160,16,60
005967,0023,160,16,60
005937,0024,160,16,60
005927,0026,160,16,60
005917,0028,160,16,60
005892,0030,160,16,60
005882,0032,160,16,60
005856,0034,160,16,60
005872,0036,160,16,60
005846,0038,160,16,60
005856,0041,160,16,60
005695,0043,160,16,60
005745,0047,160,16,60
005846,0049,160,16,60
005725,0051,160,16,60
005841,0053,160,16,60
005660,0055,160,16,60
005821,0056,160,16,60
005695,0058,160,16,60
005680,0059,160,16,60
005821,0061,160,16,60
005786,0062,160,16,60
005695,0064,160,16,60
005655,0065,160,16,60
005670,0066,160,16,60
005639,0067,160,16,60
005609,0068,160,16,60
005619,0069,160,16,60
005624,0070,160,16,60
005604,0071,160,16,60
005589,0072,160,16,60
005579,0073,160,16,60
005614,0073,160,16,60
005584,0074,160,16,60
005619,0075,160,16,60
005594,0076,160,16,60
005478,0076,160,16,60
005574,0077,160,16,60
005584,0077,160,16,60
005564,0078,160,16,60
005453,0078,160,16,60
005574,0078,160,16,60
005569,0079,160,16,60
005432,0080,160,16,60
005443,0080,160,16,60
005448,0080,160,16,60
005458,0081,160,16,60
005463,0081,160,16,60
005443,0082,160,16,60
005407,0082,160,16,60
005407,0082,160,16,60
005453,0083,160,16,60
005427,0083,160,16,60
005554,0083,160,16,60
005569,0083,160,16,60
005589,0083,160,16,60
005584,0084,160,16,60
005453,0084,160,16,60
005569,0084,160,16,60
005448,0085,160,16,60
005564,0085,160,16,60
005437,0085,160,16,60
005564,0085,160,16,60
005448,0085,160,16,60
005584,0085,160,16,60
005463,0086,160,16,60
005468,0085,160,16,60
005589,0086,160,16,60
005574,0086,160,16,60
005614,0086,160,16,60
005569,0086,160,16,60
005437,0086,160,16,60
005589,0086,160,16,60
005574,0087,160,16,60
005589,0087,160,16,60
005468,0087,160,16,60
005589,0087,160,16,60
005437,0087,160,16,60
005761,0087,160,16,60
005443,0088,160,16,60
005443,0088,160,16,60
005417,0088,160,16,60
005579,0088,160,16,60
005594,0087,160,16,60
005629,0088,160,16,60
005604,0087,160,16,60
005579,0087,160,16,60
005614,0087,160,16,60
005453,0088,160,16,60
005599,0088,160,16,60
005453,0088,160,16,60
005488,0088,160,16,60
005589,0088,160,16,60
005624,0089,160,16,60
005584,0088,160,16,60
005599,0088,160,16,60
005579,0088,160,16,60
005634,0089,160,16,60
005589,0089,160,16,60
005619,0089,160,16,60
005594,0089,160,16,60
005594,0089,160,16,60
005589,0089,160,16,60
005609,0090,160,16,60
005458,0090,160,16,60
005604,0090,160,16,60
005614,0090,160,21,60
005609,0090,160,21,60
005609,0090,160,21,60
005624,0091,160,21,60
005655,0091,160,21,60
005665,0091,160,21,60
005816,0090,160,21,60
005675,0090,160,21,60
005841,0090,160,21,60
005831,0091,160,21,60
005831,0091,160,21,60
005695,0091,160,21,60
005846,0091,160,21,60
005675,0091,160,21,60
005690,0091,160,21,60
005877,0091,160,21,60
005937,0092,160,21,60
005962,0093,160,21,60
006104,0095,160,21,60
005983,0097,160,21,60
006134,0100,160,21,60
006018,0102,160,21,60
006179,0105,160,21,60
006190,0107,160,21,60
006205,0109,160,21,60
006230,0112,160,21,60
006210,0114,160,21,60
006280,0116,160,22,60
006326,0119,160,22,60
006435,0121,160,22,60
006460,0124,160,22,60
006460,0127,160,23,60
006556,0130,160,23,60
006551,0134,160,23,60
006793,0137,160,23,60
006606,0142,160,24,60
006818,0146,160,24,60
006874,0150,160,24,60
006869,0155,160,24,60
008351,0160,160,24,60
009772,0167,160,16,60
010825,0176,160,16,60
011747,0187,160,16,60
011747,0202,160,18,60
014246,0217,160,18,60
014620,0232,160,20,60
014998,0248,160,20,60
016091,0263,160,20,60
016685,0277,160,22,60
016952,0291,160,22,60
018873,0303,160,22,60
018929,0316,160,24,60
018868,0327,160,24,60
019674,0337,160,24,60
020068,0347,160,26,60
021312,0356,160,26,60
020676,0367,160,26,60
020883,0375,160,26,60
022708,0383,160,26,60
022855,0390,160,27,60
023085,0395,160,27,60
022315,0401,160,27,60
023373,0405,160,29,60
023529,0410,160,29,60
023736,0414,160,29,60
024009,0417,160,29,60
024145,0420,160,29,60
024145,0423,160,30,60
024400,0425,160,30,60
024486,0428,160,30,60
024754,0431,160,30,60
024764,0433,160,30,60
025036,0436,160,30,60
025173,0438,160,30,60
025390,0441,160,30,60
025390,0444,160,30,60
025872,0447,160,31,60
026498,0450,160,31,60
026614,0454,160,31,60
026685,0457,160,31,60
026925,0460,160,31,60
027162,0466,160,32,60
027460,0469,160,32,60
027874,0473,160,32,60
027874,0477,160,32,60
028205,0477,160,32,60
028437,0477,160,32,60
028876,0477,160,33,60
029033,0477,160,33,60
029440,0494,160,33,60
029717,0497,160,33,60
029990,0500,160,33,60
030479,0504,160,34,60
030785,0506,160,34,60
031073,0510,160,34,60
032100,0512,160,35,60
032100,0516,160,35,60
032186,0518,160,35,60
032807,0521,160,36,60
032807,0523,160,36,60
033921,0525,160,36,60
034057,0526,160,36,60
034057,0528,160,36,60
035009,0530,160,38,60
035362,0531,160,38,60
035860,0533,160,38,60
036213,0533,160,39,60
036864,0534,160,39,60
037453,0536,160,39,60
038104,0537,160,40,60
038758,0538,160,40,60
