RPM,Temperature,Pump Value 1,Pump Value 2
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0019,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0019,0,0
000192,0020,0,0
000192,0019,0,0
002742,0019,0,0
002256,0020,0,0
003491,0000,0,0
004570,0000,0,0
005206,0020,0,0
005684,0020,0,0
006010,0021,0,0
005854,0021,0,0
005407,0022,160,16
005186,0022,160,16
004956,0024,160,16
004781,0027,160,16
004771,0032,160,16
004725,0038,160,16
004565,0043,160,16
004575,0049,160,16
004409,0052,160,16
004524,0058,160,16
004399,0061,160,16
004379,0064,160,16
004364,0067,160,16
004283,0070,160,16
004374,0073,160,16
004268,0076,160,16
004248,0078,160,16
004243,0080,160,16
004238,0082,160,16
004238,0083,160,16
004268,0084,160,16
004243,0085,160,16
004243,0086,160,16
004238,0087,160,16
004258,0087,160,16
004233,0088,160,16
004248,0089,160,16
004343,0090,160,16
004263,0090,160,16
004399,0091,160,21
004399,0091,160,21
004544,0092,160,21
004580,0092,160,21
004610,0092,160,21
004715,0093,160,21
004725,0093,160,21
004755,0093,160,21
004776,0092,160,21
004771,0093,160,21
004881,0093,160,22
004886,0093,160,22
004796,0093,160,23
004921,0095,160,24
004926,0097,160,24
000000,0104,160,25
000000,0104,160,25
007937,0000,160,35
007937,0000,160,45
011983,0134,160,45
013408,0160,160,55
013408,0160,160,55
016871,0218,160,55
000000,0259,160,55
019657,0310,160,55
019657,0310,160,55
021002,0406,160,55
022096,0454,160,55
023884,0502,160,55
024892,0536,160,55
025751,0574,160,55
026428,0596,160,55
027351,0617,160,55
027733,0636,160,55
028923,0654,160,55
029951,0666,160,55
029951,0666,160,55
031518,0681,160,55
032652,0683,80,255
000000,0000,80,255
000000,0684,80,255
000000,0684,80,255
037090,0680,80,255
040477,0664,80,255
000000,0653,80,255
000000,0653,80,255
045126,0639,80,255
047786,0627,80,255
053603,0600,80,255
055305,0580,80,255
056122,0566,80,255
056539,0544,80,255
056434,0528,80,255
056328,0513,80,255
056178,0503,80,255
055871,0493,80,255
000000,0000,80,255
000000,0000,80,255
000000,0476,80,255
000000,0474,80,255
000000,0474,80,255
000000,0471,80,255
000000,0470,80,255
000000,0469,80,255
000000,0468,80,255
056022,0468,80,255
056228,0467,80,255
056228,0467,90,255
056278,0467,90,255
059235,0470,90,255
068350,0000,90,255
070653,0000,90,255
072325,0000,90,255
073027,0000,90,255
073027,0000,90,255
072942,0474,90,255
072857,0471,90,255
072857,0467,90,255
073027,0464,90,255
072942,0462,90,255
072942,0462,90,255
073113,0459,90,255
073203,0458,90,255
073289,0456,90,255
073203,0455,90,255
072766,0453,90,255
000000,0453,90,255
072942,0453,90,255
073027,0453,90,255
072942,0453,90,255
072942,0453,90,255
073203,0453,90,255
073289,0453,90,255
073203,0452,93,255
073289,0452,93,255
073113,0451,93,255
073289,0451,93,255
000000,0454,93,255
000000,0454,93,255
077093,0455,93,255
077093,0455,93,255
077194,0454,93,255
077385,0454,93,255
000000,0452,93,255
000000,0451,93,255
000000,0451,93,255
000000,0451,93,255
000000,0451,93,255
000000,0451,93,255
000000,0450,93,255
077986,0450,96,255
079311,0450,96,255
000000,0452,96,255
000000,0452,96,255
000000,0453,96,255
000000,0453,96,255
000000,0452,96,255
081871,0451,96,255
000000,0450,96,255
000000,0450,96,255
081871,0450,96,255
081977,0451,96,255
081977,0450,104,255
081977,0450,104,255
088406,0451,104,255
000000,0453,104,255
000000,0453,104,255
000000,0453,104,255
092573,0451,104,255
092708,0450,104,255
092849,0448,104,255
092849,0446,104,255
000000,0445,104,255
000000,0445,104,255
093130,0444,104,255
092990,0444,104,255
092990,0443,104,255
093130,0444,112,255
092849,0443,112,255
092990,0443,112,255
097773,0446,112,255
101527,0448,112,255
101527,0448,112,255
102200,0447,112,255
000000,0445,112,255
000000,0443,112,255
102726,0442,112,255
000000,0441,112,255
102726,0442,112,255
000000,0442,112,255
102726,0441,112,255
102726,0441,112,255
102897,0441,112,255
102726,0440,112,255
102726,0440,122,255
103239,0439,122,255
109171,0441,122,255
109171,0441,122,255
111776,0445,122,255
111776,0445,122,255
112183,0445,122,255
112183,0444,0,0
112389,0443,0,0
103239,0440,0,0
045813,0395,0,0
034193,0357,0,0
000000,0327,0,0
021118,0298,0,0
017851,0272,0,0
015457,0255,0,0
013665,0240,0,0
012093,0232,0,0
010864,0000,0,0
010864,0000,0,0
009825,0216,0,0
008083,0207,0,0
008083,0207,0,0
006823,0201,0,0
006823,0201,0,0
