RPM,Temperature,Pump Value 1,Pump Value 2
000192,0020,0,0
000192,0021,0,0
000192,0021,0,0
000192,0020,0,0
000192,0021,0,0
000192,0021,0,0
000192,0020,0,0
000192,0021,0,0
000192,0021,0,0
000192,0020,0,0
000192,0021,0,0
000192,0021,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000192,0021,0,0
000192,0021,0,0
000192,0020,0,0
000192,0020,0,0
000192,0020,0,0
000000,0020,0,0
000609,0021,0,0
000000,0020,0,0
002571,0020,0,0
002973,0020,0,0
002973,0020,0,0
000000,0021,0,0
000000,0021,0,0
000000,0021,0,0
000000,0021,0,0
000000,0021,0,0
005216,0021,0,0
005628,0021,0,0
005473,0021,0,0
005689,0021,0,0
005689,0021,0,0
005865,0000,0,0
005447,0021,0,0
005442,0022,160,16
005392,0022,160,16
005302,0022,160,16
005181,0022,160,16
005181,0022,160,16
004982,0022,160,16
004982,0022,160,16
004931,0023,160,16
004921,0023,160,16
004906,0025,160,16
004771,0027,160,16
004755,0029,160,16
004730,0031,160,16
004715,0000,160,16
004725,0035,160,16
004650,0037,160,16
004715,0040,160,16
004705,0041,160,16
004680,0044,160,16
004590,0047,160,16
004705,0049,160,16
004580,0051,160,16
004600,0053,160,16
004580,0055,160,16
004570,0057,160,16
004595,0059,160,16
004560,0062,160,16
004539,0062,160,16
004454,0065,160,16
004454,0065,160,16
004444,0067,160,16
004444,0067,160,16
004529,0069,160,16
004454,0071,160,16
004424,0072,160,16
004434,0073,160,16
004424,0074,160,16
004404,0075,160,16
004404,0075,160,16
004509,0077,160,16
004534,0077,160,16
004509,0078,160,16
004484,0079,160,16
004404,0080,160,16
004389,0081,160,16
004429,0081,160,16
004434,0082,160,16
004399,0082,160,16
004399,0082,160,16
004404,0083,160,16
004394,0084,160,16
004399,0084,160,16
004303,0085,160,16
004379,0085,160,16
004399,0085,160,16
004384,0086,160,16
004399,0086,160,16
004389,0086,160,16
004399,0087,160,16
004384,0087,160,16
004384,0087,160,16
004389,0088,160,16
004293,0088,160,16
004419,0088,160,16
004419,0088,160,16
004414,0088,160,16
004414,0088,160,16
004399,0089,160,16
004374,0089,160,16
004389,0090,160,16
004389,0090,160,16
004384,0090,160,16
004404,0091,160,21
004399,0091,160,21
004529,0091,160,21
004554,0092,160,21
004565,0092,160,21
004675,0092,160,21
004585,0092,160,21
004715,0092,160,21
004715,0092,160,21
004735,0093,160,21
004620,0093,160,21
004735,0093,160,21
004730,0093,160,21
004766,0093,160,21
004786,0094,160,21
004906,0094,160,21
004931,0094,160,21
004931,0094,160,21
004941,0095,160,21
004941,0095,160,21
004951,0096,160,21
004951,0096,160,21
004931,0097,160,21
004931,0097,160,21
004931,0097,160,21
004926,0097,160,21
004926,0097,160,21
004956,0097,160,22
004956,0097,160,22
004956,0097,160,22
004921,0096,160,22
004921,0096,160,23
004921,0096,160,23
004926,0095,160,23
004926,0095,160,23
004926,0095,160,24
004921,0093,160,24
004921,0093,160,24
004921,0093,160,24
004921,0093,160,25
004921,0093,160,25
004916,0090,160,25
004916,0090,160,25
004916,0090,160,35
004916,0090,160,35
004911,0088,160,35
004911,0088,160,35
006577,0087,160,45
007009,0000,160,45
007471,0085,160,45
008480,0085,160,45
009297,0083,160,55
009297,0083,160,55
009810,0082,160,55
010071,0081,160,55
010723,0080,160,55
000000,0079,160,55
000000,0079,160,55
000000,0077,160,55
011741,0076,160,55
011802,0075,160,55
011847,0074,160,55
011892,0072,160,55
011892,0072,160,55
011937,0071,160,55
011958,0070,160,55
012003,0069,160,55
012013,0068,160,55
011942,0067,160,55
011978,0000,160,55
